"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2000, 2020","BHR","percent_change_in_mmr",18.980808643434,34.0724323536066,48.4964995892091,"estimates_12-19-22"
"2010, 2020","BHR","arr",0.636658078657165,2.11157745499401,4.1295274310554,"estimates_12-19-22"
"2010, 2020","BHR","percent_change_in_mmr",6.1681473889333,19.0353661253723,33.8306410813667,"estimates_12-19-22"
"2000, 2005","BHR","arr",0.403576386950345,2.77747838405812,4.94112196773626,"estimates_12-19-22"
"2000, 2005","BHR","percent_change_in_mmr",1.99765271061675,12.9662245576081,21.8903125970563,"estimates_12-19-22"
"2005, 2010","BHR","arr",-0.985834706733883,1.35033842576384,3.40879075921769,"estimates_12-19-22"
"2005, 2010","BHR","percent_change_in_mmr",-5.05268014430835,6.528809560948,15.6705924594873,"estimates_12-19-22"
"2010, 2015","BHR","arr",2.53364636149689,4.80642702178262,6.67665129672636,"estimates_12-19-22"
"2010, 2015","BHR","percent_change_in_mmr",11.8986489727684,21.3624881754548,28.3826315084676,"estimates_12-19-22"
"2015, 2020","BHR","arr",-2.30729210215571,-0.556853629317262,2.61049612010133,"estimates_12-19-22"
"2015, 2020","BHR","percent_change_in_mmr",-12.2282553243685,-2.82339114709329,12.2365276524847,"estimates_12-19-22"
"2016, 2020","BHR","arr",-3.49784266124827,-1.69270382234545,1.76613687929133,"estimates_12-19-22"
"2016, 2020","BHR","percent_change_in_mmr",-15.0174541930302,-7.0052972696676,6.82078229033911,"estimates_12-19-22"
"2000, 2015","BGD","arr",2.98598686521614,5.03498956930144,6.63320141407502,"estimates_12-19-22"
"2000, 2015","BGD","percent_change_in_mmr",36.103016170174,53.0106133076097,63.0269231874179,"estimates_12-19-22"
"2000, 2020","BGD","arr",4.58592390428918,6.45398398804257,8.06143539375988,"estimates_12-19-22"
"2000, 2020","BGD","percent_change_in_mmr",60.03574584191,72.4948464419441,80.0569021995142,"estimates_12-19-22"
"2010, 2020","BGD","arr",6.31496734319199,8.92622632792463,11.4059630872836,"estimates_12-19-22"
"2010, 2020","BGD","percent_change_in_mmr",46.8204746294448,59.0419835437923,68.0371632118864,"estimates_12-19-22"
"2000, 2005","BGD","arr",0.407457988690824,3.49089719356935,5.63797239623339,"estimates_12-19-22"
"2000, 2005","BGD","percent_change_in_mmr",2.01667695972461,16.0160821531314,24.564984084521,"estimates_12-19-22"
"2005, 2010","BGD","arr",1.66977201645054,4.60664332573371,7.00787178131577,"estimates_12-19-22"
"2005, 2010","BGD","percent_change_in_mmr",8.00984244227038,20.5730270221726,29.5589195305841,"estimates_12-19-22"
